1: t14_CMakeFiles_VTKData  --> 192.375
2: t12374_lib_libvtkhdf5_7_1_so_1  --> 103.12519623988281
3: t5365_lib_libvtkCommonDataModel_7_1_so_1  --> 84.37642210971103
4: t16745_bin_vtkInteractionWidgetsCxxTests  --> 80.95456528540683
5: t14345_lib_libvtkexoIIc_7_1_so_1  --> 72.5638289448119
6: t10870_lib_libvtkInteractionWidgets_7_1_so_1  --> 71.00737469740908
7: t15123_lib_libvtkproj4_7_1_so_1  --> 60.3052467047884
8: t17076_bin_vtkRenderingCoreCxxTests  --> 55.52797384646832
9: t4735_lib_libvtkCommonCore_7_1_so_1  --> 55.47045867609205
10: t7565_lib_libvtkRenderingCore_7_1_so_1  --> 54.87941103022469
11: t9339_lib_libvtkRenderingOpenGL2_7_1_so_1  --> 52.37987349016619
12: t6530_lib_libvtkFiltersGeneral_7_1_so_1  --> 51.742166124323134
13: t11340_bin_vtkChartsCoreCxxTests  --> 50.9584780539968
14: t17646_bin_vtkViewsInfovisCxxTests  --> 47.21529690651869
15: t15453_lib_libvtkGeovisCore_7_1_so_1  --> 44.24940141763212
16: t11514_bin_vtkCommonCoreCxxTests  --> 40.963662446140006
17: t6186_lib_libvtkFiltersCore_7_1_so_1  --> 39.204738946595356
18: t16973_bin_vtkRenderingAnnotationCxxTests  --> 38.68652442329583
19: t11821_bin_vtkCommonDataModelCxxTests  --> 38.50285046214006
20: t7994_lib_libvtkfreetype_7_1_so_1  --> 37.576819723818645
21: t17553_lib_libvtkViewsInfovis_7_1_so_1  --> 37.07884329897129
22: t14769_bin_vtkFiltersSourcesCxxTests  --> 32.26595635645906
23: t17437_bin_vtkRenderingVolumeCxxTests  --> 31.945004031300858
24: t5988_lib_libvtkCommonExecutionModel_7_1_so_1  --> 28.45715732941119
25: t13440_bin_vtkFiltersGeneralCxxTests  --> 27.411543261392364
26: t8413_lib_libvtkChartsCore_7_1_so_1  --> 25.888604318533172
27: t13112_bin_vtkFiltersCoreCxxTests  --> 25.65046639523134
28: t16518_bin_vtkImagingCoreCxxTests  --> 25.096616518265375
29: t14978_lib_libvtkInfovisLayout_7_1_so_1  --> 25.013008070364467
30: t9029_lib_libvtklibxml2_7_1_so_1  --> 24.454858444357388
31: t13813_lib_libvtkFiltersParallel_7_1_so_1  --> 24.37762444097733
32: t7231_lib_libvtkInfovisCore_7_1_so_1  --> 23.820233392188324
33: t13710_bin_vtkFiltersHyperTreeCxxTests  --> 23.59798668222686
34: t8885_lib_libvtkIOXML_7_1_so_1  --> 23.397460139488413
35: t14726_lib_libvtkIOParallel_7_1_so_1  --> 23.058873598937495
36: t16646_bin_vtkInfovisCoreCxxTests  --> 22.931729224722698
37: t15452_lib_libvtkGeovisCore_7_1_so  --> 22.62470070881606
38: t15666_bin_vtkIOExodusCxxTests  --> 22.04801477474491
39: t14181_lib_libvtkNetCDF_7_1_so_1  --> 21.63640802781964
40: t10746_lib_libvtkRenderingVolume_7_1_so_1  --> 21.05596322786063
41: t6854_lib_libvtkImagingCore_7_1_so_1  --> 20.650193894186767
42: t10070_lib_libvtkIOImage_7_1_so_1  --> 19.836234254373856
43: t9793_lib_libvtkjpeg_7_1_so_1  --> 19.82854790852511
44: t17237_bin_vtkRenderingFreeTypeCxxTests  --> 19.74611086554297
45: t15849_bin_vtkIOImageCxxTests  --> 19.50607880048203
46: t15779_bin_vtkIOGeometryCxxTests  --> 19.372398735750757
47: t17376_bin_vtkRenderingOpenGL2CxxTests  --> 19.067213870929475
48: t15618_lib_libvtkIOExodus_7_1_so_1  --> 18.81372867786311
49: t16060_lib_libvtkoggtheora_7_1_so_1  --> 17.594462139694585
50: t16703_bin_vtkInfovisLayoutCxxTests  --> 17.58500777486621
51: t15932_bin_vtkIOInfovisCxxTests  --> 17.54349039498089
52: t7449_lib_libvtkFiltersSources_7_1_so_1  --> 17.064317919333707
53: t16440_bin_vtkIOXMLCxxTests  --> 16.879822854185
54: t9977_lib_libvtktiff_7_1_so_1  --> 16.710329977810037
55: t12160_bin_vtkDomainsChemistryCxxTests  --> 16.676309501793128
56: t13525_bin_vtkFiltersGenericCxxTests  --> 16.599796441084372
57: t7140_lib_libvtkFiltersExtraction_7_1_so_1  --> 15.925266569510029
58: t8640_lib_libvtkIOLegacy_7_1_so_1  --> 15.776962195712855
59: t15122_lib_libvtkproj4_7_1_so  --> 15.5763116761971
60: t17061_bin_vtkRenderingContext2DCxxTests  --> 15.130621414137764
61: t16631_bin_vtkImagingMorphologicalCxxTests  --> 14.908583810560627
62: t10666_lib_libvtkRenderingAnnotation_7_1_so_1  --> 14.773282183543815
63: t9183_lib_libvtkIOInfovis_7_1_so_1  --> 14.399546375440323
64: t9701_lib_libvtkmetaio_7_1_so_1  --> 14.327339556240645
65: t10248_lib_libvtkFiltersHybrid_7_1_so_1  --> 14.286349489621538
